Coin Name,Price,24h Change,Market Cap,Timestamp
"CoinMarketCap 20 Index DTF
CMC20
Buy",$125.61,0.47%,"$12,806,770",2026-06-10 21:42:17.726653
"Bitcoin
BTC
Buy","$62,331.95",0.88%,"$1,249,075,407,648",2026-06-10 21:42:17.726653
"Ethereum
ETH
Buy","$1,651.72",0.96%,"$199,337,531,231",2026-06-10 21:42:17.726653
"Tether
USDT
Buy",$0.9992,0.02%,"$186,813,366,786",2026-06-10 21:42:17.726653
"BNB
BNB
Buy",$595.72,0.51%,"$80,293,679,571",2026-06-10 21:42:17.726653
"USDC
USDC
Buy",$0.9997,0.01%,"$75,012,636,746",2026-06-10 21:42:17.726653
"XRP
XRP
Buy",$1.12,0.22%,"$69,887,641,147",2026-06-10 21:42:17.726653
"Solana
SOL
Buy",$65.26,0.22%,"$37,818,983,872",2026-06-10 21:42:17.726653
"TRON
TRX
Buy",$0.3225,0.12%,"$30,583,457,643",2026-06-10 21:42:17.726653
"Hyperliquid
HYPE
Buy",$57.32,0.98%,"$14,539,874,525",2026-06-10 21:42:17.726653
"CoinMarketCap 20 Index DTF
CMC20
Buy",$125.61,0.47%,"$12,806,770",2026-06-10 21:43:35.258706
"Bitcoin
BTC
Buy","$62,345.73",0.72%,"$1,250,750,239,145",2026-06-10 21:43:35.258706
"Ethereum
ETH",,0.94%,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
,,,,2026-06-10 21:43:35.258706
"BTC/USDT
 ","$62,319.17","$22,596,725/$20,616,682","1,164",2026-06-10 21:47:24.920569
"BTC/USDC
 ","$62,327.33","$7,119,530/$5,521,673",968,2026-06-10 21:47:24.920569
"BTC/USD
 ","$62,316.88","$20,019,194/$19,879,556",889,2026-06-10 21:47:24.920569
"BTC/KRW
 ","$61,771.19","$262,179/$122,903",608,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,302.02","$232,958/$212,563",598,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,322.70","$4,245,981/$2,744,843",845,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,351.08","$17,520,581/$10,841,028",844,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,335.65","$3,787,044/$1,145,471",799,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,316.17","$9,071,413/$8,965,726",837,2026-06-10 21:47:24.920569
"BTC/USDT
 ","$62,319.57","$3,932,413/$2,400,704",826,2026-06-10 21:47:24.920569
